,location_name,google_name,Location,Average User Rating,Total User Rating
1394,Bull City Burger And Brewery,Bull City Burger and Brewery,"{'lat': 35.995494, 'lng': -78.899776}",4.4,1091
1395,Bull Creek Brewing Company,Bull Creek Brewing,"{'lat': 30.7055754, 'lng': -97.87089879999999}",4.6,45
1396,Bull Falls Brewery LLC,Bull Falls Brewery,"{'lat': 44.9510779, 'lng': -89.6178119}",4.6,120
1397,Bull Island Brewing Company,Bull Island Brewing Company,"{'lat': 37.0245145, 'lng': -76.3413669}",4.5,280
1398,Bull Spit Brewing,Bull Spit Brewing Company,"{'lat': 42.4633239, 'lng': -71.6630788}",4.2,36
1399,Bull and Barrel Brew Pub,Bull and Barrel Brew Pub,"{'lat': 41.397413, 'lng': -73.602364}",4.2,232
1400,Bull and Goat Brewery,Bull & Goat Brewery,"{'lat': 39.045202, 'lng': -76.0627653}",4.9,55
1401,Bulldog Brewing,Bulldog Brewing Company,"{'lat': 41.6795476, 'lng': -87.49513979999999}",4.1,221
1402,Bullfrog Brewery Production Only,N/A,N/A,N/A,N/A
1403,Bullfrog Creek Brewing Company,Bullfrog Creek Brewing Co.,"{'lat': 27.887546, 'lng': -82.23777799999999}",4.8,361
1404,Bullquarian Brewhouse LLC,Bullquarian Brewhouse,"{'lat': 42.6003193, 'lng': -89.6384339}",4.8,64
1405,Bullthistle Brewing Co,Bullthistle Brewing Company,"{'lat': 42.6721989, 'lng': -75.4959593}",4.6,39
1406,Bully Brewing,Bully Brewing Inc,"{'lat': 28.82881829999999, 'lng': -81.8988887}",4.9,19
1407,Bunker Brewing Co,N/A,N/A,N/A,N/A
1408,Bunsenbrewer,Bunsenbrewer,"{'lat': 45.4040588, 'lng': -122.2903423}",4.6,80
1409,Buon Appetito Ristorante,Buon Appetito Ristorante,"{'lat': 39.8463889, 'lng': -76.8997222}",4.4,153
1410,Buonarroti Ristorante,Buonarroti Ristorante,"{'lat': 38.8914986, 'lng': -121.293045}",4.6,266
1411,Buoy Beer Company,Buoy Beer Company,"{'lat': 46.191345, 'lng': -123.8351037}",4.5,1238
1412,Burd's Nest Brewing Co,Burd's Nest Brewing Company,"{'lat': 40.2025421, 'lng': -77.18844159999999}",4.4,80
1413,Burgeon Beer Company,Burgeon Beer Company,"{'lat': 33.119822, 'lng': -117.273198}",4.7,240
1414,Burgh'ers Brewing,Burgh'ers Brewing Zelienople,"{'lat': 40.7956604, 'lng': -80.1392468}",4.3,507
1415,Burial Beer Co,Burial Beer Co.,"{'lat': 35.58804900000001, 'lng': -82.55379599999999}",4.7,1032
1416,Burial Beer Co Forestry Camp,Burial Beer Co.,"{'lat': 35.58804900000001, 'lng': -82.55379599999999}",4.7,1032
1417,Buried Acorn Brewing Company,Buried Acorn Brewing Company,"{'lat': 43.0634076, 'lng': -76.17423320000002}",4.7,173
1418,Burke Gilman Brewing,Burke-Gilman Brewing Company,"{'lat': 47.66148630000001, 'lng': -122.2881142}",4.7,109
1419,Burke's Alewerks,Burke's Alewerks,"{'lat': 42.153869, 'lng': -70.8544747}",4.8,43
1420,Burley Oak Craft Brewery,Burley Oak Brewing Company,"{'lat': 38.33361110000001, 'lng': -75.2169444}",4.7,444
1421,Burlington Beer Company,N/A,N/A,N/A,N/A
