,location_name,google_name,Location,Average User Rating,Total User Rating
0,10 56 Brewing Company,10-56 Brewing Company,"{'lat': 41.2714471, 'lng': -86.6198986}",4.9,48
1,10 Barrel Brewing Co,10 Barrel Brewing Company Denver,"{'lat': 39.7594088, 'lng': -104.9855212}",4.5,700
2,10 Barrel Brewing Co Bend Pub,N/A,N/A,N/A,N/A
3,10 Barrel Brewing Co Denver,10 Barrel Brewing Company Denver,"{'lat': 39.7594088, 'lng': -104.9855212}",4.5,700
4,10 Barrel Brewing Co Portland,10 Barrel Brewing Company Denver,"{'lat': 39.7594088, 'lng': -104.9855212}",4.5,700
5,10 Torr Distilling and Brewing,N/A,N/A,N/A,N/A
6,101 Brewery,101 Brewery at Twana Road House,"{'lat': 47.8223941, 'lng': -122.875426}",4.4,93
7,1035 Brewing,N/A,N/A,N/A,N/A
8,105 West Brewing Co,105 West Brewing Company,"{'lat': 39.3811365, 'lng': -104.8677044}",4.9,304
9,10K Brewing,10K Brewing,"{'lat': 45.19826, 'lng': -93.389539}",4.6,331
10,10th District Brewing Company,10th District Brewing Company,"{'lat': 42.0938148, 'lng': -70.9678802}",4.8,42
11,11 Below Brewing Company,11 Below Brewing Company,"{'lat': 29.9514883, 'lng': -95.5186118}",4.8,253
12,12 Bones Brewing,12 Bones Brewing,"{'lat': 35.4662139, 'lng': -82.51642740000001}",4.6,35
13,12 Fox Beer Co,12 Fox Beer Co,"{'lat': 30.2568713, 'lng': -98.14433869999999}",4.8,161
14,12 Gates Brewing Company,12 Gates Brewing Company,"{'lat': 42.9538209, 'lng': -78.71289829999999}",4.6,267
15,12 West Brewing Company,N/A,N/A,N/A,N/A
16,12 West Brewing Company Production Facility,12 West Brewing Co.,"{'lat': 33.3216015, 'lng': -111.7267324}",4.8,186
17,122 West Brewing Co,122 West Brewing Co.,"{'lat': 48.7625675, 'lng': -122.4858342}",4.6,62
18,127 Brewing,127 Brewing,"{'lat': 42.2858925, 'lng': -84.4314728}",4.7,94
19,12Degree Brewing,12Degree Brewing,"{'lat': 39.9782385, 'lng': -105.1319916}",4.7,231
20,13 Below Brewery,13 Below Brewery,"{'lat': 39.1265728, 'lng': -84.70706349999999}",4.7,159
21,13 Point Brewing,13 Point Brewing Co.,"{'lat': 32.7427812, 'lng': -117.0249047}",4.6,77
22,13 Stripes Brewery,13 Stripes Brewery,"{'lat': 34.9197401, 'lng': -82.2845935}",4.7,311
23,13th Child Brewery,13th Child Brewery,"{'lat': 39.6832717, 'lng': -74.9917675}",4.6,79
24,14 Cannons Brewing Company,14 Cannons,"{'lat': 34.1551802, 'lng': -118.8020092}",4.8,113
25,14 Lakes Brewery,14 Lakes Brewery,"{'lat': 46.68701069999999, 'lng': -94.1122954}",4.6,64
26,1487 Brewery,N/A,N/A,N/A,N/A
27,14er Brewing Company,14er Brewing & Beer Garden,"{'lat': 39.7648799, 'lng': -104.9801926}",4.5,244
28,14th Star Brewing Co,14th Star Brewing Co.,"{'lat': 44.8144537, 'lng': -73.0815724}",4.8,118
29,15 24 Brew House,15-24 Brew House,"{'lat': 39.3761435, 'lng': -97.1275175}",4.6,130
30,16 Lots Brewing,16 Lots Brewing Company,"{'lat': 39.3495559, 'lng': -84.32618710000001}",4.5,201
31,16 Stone Brewpub,16 Stone Brewpub,"{'lat': 43.2418785, 'lng': -75.25634}",4.6,71
32,1623 Brewing CO llc,1623 Brewing Company,"{'lat': 39.4164017, 'lng': -76.9773575}",4.8,88
33,1717 Brewing Co,1717 Brewing Co.,"{'lat': 41.5872338, 'lng': -93.6121245}",4.7,51
34,1718 Ocracoke Brewing,1718 Brewing Ocracoke,"{'lat': 35.107474, 'lng': -75.971818}",4.7,214
35,1766 Brewing Company,N/A,N/A,N/A,N/A
36,1774 Brewing,N/A,N/A,N/A,N/A
37,1781 Brewing Company,1781 Brewing Company,"{'lat': 38.32715690000001, 'lng': -77.7185217}",4.6,126
38,1787 Brewing Company,1787 Brewing Company,"{'lat': 40.554327, 'lng': -75.98189099999999}",4.5,518
39,180 and Tapped,N/A,N/A,N/A,N/A
40,1803 Brewery and Taproom,1803 Brewery & Taproom,"{'lat': 40.7335853, 'lng': -82.7883758}",4.6,12
41,1812 Brewery,1812 Brewery,"{'lat': 39.7021475, 'lng': -78.70085279999999}",4.8,108
42,1817 Brewery,N/A,N/A,N/A,N/A
43,1840 Brewing Company,1840 Brewing Company,"{'lat': 43.004356, 'lng': -87.90617800000001}",4.8,122
44,1849 Brewing Company,1849 Brewing Company,"{'lat': 39.2324126, 'lng': -121.0368826}",3.9,131
45,1850 Brewing Company,1850 Restaurant and Brewery,"{'lat': 37.489689, 'lng': -119.969993}",4.4,565
46,18th Street Brewery,18th Street Brewery Tap Room and Craft Cocktails,"{'lat': 41.5990611, 'lng': -87.26720279999999}",4.4,191
47,18th Ward Brewing Co,18th Ward Brewing,"{'lat': 40.7195918, 'lng': -73.93958219999999}",4.5,37
48,1905 Brewing Company,1905 Brewing Company,"{'lat': 39.51979499999999, 'lng': -89.05002200000001}",4.5,32
49,1912 Brewing,1912 Brewing Company,"{'lat': 32.2466736, 'lng': -110.9940185}",4.8,214
50,192 Brewing,192 Brewing Company / The Lake Trail Taproom,"{'lat': 47.756803, 'lng': -122.242008}",4.1,303
51,1940's Brewing Company,1940's Brewing Company,"{'lat': 40.7832066, 'lng': -73.08400480000002}",4.6,104
52,1st Republic Brewing Co,1st Republic Brewing,"{'lat': 44.4837565, 'lng': -73.0852218}",4.8,114
53,2 Basset Brewery,2 Basset Brewery,"{'lat': 46.5480493, 'lng': -110.901012}",4.9,72
54,2 Doors Down Brewing,Two Doors Down Brewery,"{'lat': 40.1522025, 'lng': -88.95981259999999}",4.7,44
55,2 Feet Brewing Company,2 Feet Brewing Co.,"{'lat': 44.8002365, 'lng': -68.7727324}",4.6,211
56,2 Row Brewing,N/A,N/A,N/A,N/A
57,2 Silos Brewing Company,2 Silos Brewing Company,"{'lat': 38.7427701, 'lng': -77.5216892}",4.3,839
58,2 Tones Brewing Co,2 Tones Brewing Co,"{'lat': 39.9750852, 'lng': -82.880709}",4.9,66
59,2 Way Brewing Company,Two Way Brewing Company,"{'lat': 41.5083147, 'lng': -73.9811194}",4.4,152
60,2 Witches Winery and Brewing Company,2 Witches Winery & Brewing Company,"{'lat': 36.5856441, 'lng': -79.42101889999999}",4.8,151
61,20 Corners Brewing LLC,20 Corners Brewing,"{'lat': 47.7678642, 'lng': -122.1517007}",4.6,303
62,210 Brewing Co,210 Brewing CO,"{'lat': 48.2145095, 'lng': -122.1841675}",3.7,33
63,21st Amendment Brewery,21st Amendment Brewery & Restaurant,"{'lat': 37.7825245, 'lng': -122.3924605}",4.3,1227
64,21st Amendment Brewery Cafe,21st Amendment Brewery & Restaurant,"{'lat': 37.7825245, 'lng': -122.3924605}",4.3,1227
65,22 Northmen Brewing Company,22 Northmen Brewing Company,"{'lat': 45.9606348, 'lng': -95.3945368}",4.4,71
66,23rd Street Brewery,23rd Street Brewery,"{'lat': 38.9430353, 'lng': -95.2810567}",4.3,441
67,25 O'Clock Brewing Company,25 O'Clock Brewing Company,"{'lat': 40.1144876, 'lng': -88.2098012}",4.8,49
68,256 North Restaurant,256 North Restaurant,"{'lat': 38.236951, 'lng': -122.641717}",4.2,192
69,26 Degree Brewing Company,N/A,N/A,N/A,N/A
70,27A Brewing Company,27A Brewing Company,"{'lat': 40.68823099999999, 'lng': -73.37526749999999}",5,43
71,2C Family Brewing Co,2C Family Brewing Company,"{'lat': 43.578274, 'lng': -116.559282}",4.6,65
72,2SP Brewing Company,N/A,N/A,N/A,N/A
73,2nd Bridge Brewing Co,2nd Bridge Brewing Company,"{'lat': 41.7847406, 'lng': -72.5517358}",4.6,67
74,2nd Phase Brewing,2nd Phase Brewing,"{'lat': 35.3764866, 'lng': -119.013129}",5,28
75,2nd Shift Brewing Co,2nd Shift Brewing,"{'lat': 38.62136479999999, 'lng': -90.28144449999999}",4.7,339
76,2nd Story Brewing Company,2nd Story Brewing,"{'lat': 39.9484375, 'lng': -75.1435245}",4.3,643
77,2x4 Brew Pub,N/A,N/A,N/A,N/A
78,3 Bridges Brewing,3 Bridges Brewing,"{'lat': 27.0553186, 'lng': -82.4109888}",1,1
79,3 Car Garage Brewing Co,3 Car Garage Brewing,"{'lat': 27.4884223, 'lng': -82.4561538}",4.7,39
80,3 Daughters Brewing,3 Daughters Brewing,"{'lat': 27.7691667, 'lng': -82.6627778}",4.6,864
81,3 Freaks Brewing Co,3 Freaks Brewery,"{'lat': 39.564867, 'lng': -104.9059942}",4.5,127
82,3 Iron Brewing Company,3 Iron Brewing Co,"{'lat': 34.0559378, 'lng': -117.3066349}",4.9,106
83,3 Keys Brewing Company LLC,3 Keys Brewing and Eatery,"{'lat': 27.496807, 'lng': -82.53257699999999}",4.5,518
84,3 Nations Brewing,3 Nations Brewing,"{'lat': 32.9510024, 'lng': -96.9062302}",4.8,270
85,3 Sheeps Brewing Co,3 Sheeps Brewing Company,"{'lat': 43.7733779, 'lng': -87.7299262}",4.7,302
86,3 Sons Brewing Co,3 Sons Brewing Co,"{'lat': 26.0572409, 'lng': -80.1434209}",4.6,230
87,3 Stars Brewing Co,3 Stars Brewing Company,"{'lat': 38.967491, 'lng': -77.012626}",4.6,217
88,3 Trails Brewing,3 Trails Brewing,"{'lat': 39.092571, 'lng': -94.41528199999999}",4.8,94
89,30 Mile Brewing Co,30 Mile Brewing Co.,"{'lat': 41.3025398, 'lng': -72.3711777}",4.7,63
90,300 Suns Brewing Company,300 Suns Brewing,"{'lat': 40.16, 'lng': -105.1011111}",4.7,293
91,32 North Brewing Co,N/A,N/A,N/A,N/A
92,34 Degree North Experiment Station,N/A,N/A,N/A,N/A
93,350 Brewing Co,350 Brewing Company,"{'lat': 41.559356, 'lng': -87.7915471}",4.4,451
94,38 75 Brewing,Gary's Dewey Beach Grill / 38° -75° Brewing,"{'lat': 38.6953767, 'lng': -75.0749172}",4.2,89
95,3Halves Brewing Co LLC,3Halves Brewing Co.,"{'lat': 39.2461756, 'lng': -94.41895319999999}",4.5,84
96,3cross Fermentation Cooperative,N/A,N/A,N/A,N/A
97,3rd Act Craft Brewery,3rd Act Craft Brewery,"{'lat': 44.8876838, 'lng': -92.9446945}",4,180
98,3rd Planet Brewing,3rd Planet Brewing - The Mothership,"{'lat': 30.5160267, 'lng': -86.4580153}",4.8,140
99,3rd Turn Brewing,3rd Turn Brewing,"{'lat': 38.193315, 'lng': -85.5665885}",4.8,286
100,3rd Turn Oldham Gardens,3rd Turn Oldham Gardens,"{'lat': 38.332736, 'lng': -85.4621579}",4.7,200
101,4 By 4 Brewing Company,4 By 4 Brewing Company,"{'lat': 37.1477898, 'lng': -93.2399315}",4.8,219
102,4 Hands Brewing Co,4 Hands Brewing Co,"{'lat': 38.6149554, 'lng': -90.19752570000001}",4.6,700
103,4 Noses Brewing Company,4 Noses Brewing Company,"{'lat': 39.9064513, 'lng': -105.0985958}",4.6,680
104,405 Brewing Co,"(405) Brewing Co., LLC","{'lat': 35.2573304, 'lng': -97.4681207}",4.9,54
105,406 Brewing Company,406 Brewing Company,"{'lat': 45.85452009999999, 'lng': -111.3299358}",4.6,96
106,411 Broadway Ales,411 Broadway Ales & Spirits,"{'lat': 36.7273517, 'lng': -119.7850409}",5,1
107,412 Brews,N/A,N/A,N/A,N/A
108,42 North Brewing Company,42 North Brewing Company,"{'lat': 42.7685764, 'lng': -78.6080822}",4.5,249
109,4204 Main Street Brewing Co,"4204 Main Street Brewing Co. Banquet and Events, Taproom, and Distribution Center","{'lat': 38.5546006, 'lng': -90.0392301}",4.5,78
110,450 North Brewing Company Simmons Winery,450 North Brewing Company,"{'lat': 39.2679636, 'lng': -85.8327109}",4.4,465
111,47 Hills Brewing Co,47 Hills Brewing Company,"{'lat': 37.6441833, 'lng': -122.4135194}",4.6,174
112,49th State Brewing,49th State Brewing - Denali Park,"{'lat': 63.8637664, 'lng': -149.0167304}",4.5,725
113,49th State Brewing Anchorage,49th State Brewing - Anchorage,"{'lat': 61.21962970000001, 'lng': -149.8959203}",4.5,4095
114,49th State Brewing The Rail,N/A,N/A,N/A,N/A
115,4J Brewing Company,4J Brewing Company,"{'lat': 29.794761, 'lng': -95.5238993}",4.8,69
116,4kd Crick Brewery,4KD Crick Brewery,"{'lat': 41.2931092, 'lng': -84.3387212}",4.8,53
117,4th Tap Brewing Cooperative,4th Tap Brewing Cooperative,"{'lat': 30.3851792, 'lng': -97.7119783}",4.7,377
118,5 Alarm Brewing Co,5 Alarm Brewing Co.,"{'lat': 43.41920469999999, 'lng': -93.534172}",4.9,58
119,5 Arch Brewing,5 Arch Brewing Co,"{'lat': 39.8176312, 'lng': -84.9952849}",4.7,39
120,5 Barrel Bullet Brewing Company,Five Barrel Bullet Brewing Co.,"{'lat': 40.4728622, 'lng': -81.420227}",4.7,27
121,5 Lakes Brewing Co,5 Lakes Brewing Company,"{'lat': 42.7240779, 'lng': -85.7056013}",4.3,550
122,5 Rabbit Cerveceria Inc,5 Rabbit Cervecería,"{'lat': 41.7577981, 'lng': -87.77966800000002}",4.6,180
123,5 Rights Brewing Co,5 Rights Brewing Company,"{'lat': 48.0507569, 'lng': -122.1762048}",4.8,121
124,5 Stones Artisan Brewery,5 Stones Artisan Brewery,"{'lat': 29.712099, 'lng': -98.26250449999999}",4.9,129
125,512 Brewing Co,(512) Brewing Company,"{'lat': 30.2229723, 'lng': -97.7701519}",4.8,132
126,515 Brewing Co,515 Brewing Company,"{'lat': 41.6000032, 'lng': -93.7227568}",4.8,216
127,51st State Brewing Company,51st State Brewing Company,"{'lat': 45.8083861, 'lng': -88.0883156}",4.7,407
128,5280 Beer Company LLC Elevated Seltzer,Elevated Seltzer,"{'lat': 39.7995173, 'lng': -105.0823364}",4.3,44
129,54 40 Brewing Company,N/A,N/A,N/A,N/A
130,550 Brewing,N/A,N/A,N/A,N/A
131,559 Local Brewing,N/A,N/A,N/A,N/A
132,56 Brewing,56 Brewing,"{'lat': 45.0236167, 'lng': -93.27215559999999}",4.6,383
133,575 Brewing Company,575 Brewing Company,"{'lat': 32.8979777, 'lng': -105.963526}",4.8,74
134,5ive Cities Brewing,Five Cities Brewing,"{'lat': 41.5736959, 'lng': -90.5007258}",4.3,100
135,5x5 Brewing Co,5x5 Brewing Co.,"{'lat': 26.2123369, 'lng': -98.31147729999999}",4.9,332
136,6 Bears & A Goat Brewing Company LLC,6 Bears & A Goat Brewing Company,"{'lat': 38.3624367, 'lng': -77.51422889999999}",4.4,312
137,6 Bridges Brewing,N/A,N/A,N/A,N/A
138,6 Wards Brewing Company,6 Wards Brewing Company,"{'lat': 29.4838016, 'lng': -95.0462486}",4.9,34
139,602 Brewing Company,602 Brewing Company,"{'lat': 30.1099225, 'lng': -97.31987540000002}",4.3,287
140,603 Brewery,N/A,N/A,N/A,N/A
141,608 Brewing Company,608 Brewing Company,"{'lat': 43.8258353, 'lng': -91.24988979999999}",4.7,158
142,612 Brew,612Brew,"{'lat': 44.9990539, 'lng': -93.24689889999999}",4.2,271
143,67 Degrees,N/A,N/A,N/A,N/A
144,6th and La Brea,N/A,N/A,N/A,N/A
145,7 Devils Brewing Co,N/A,N/A,N/A,N/A
146,7 Dogs Brewpub,7 Dogs Brew Pub,"{'lat': 36.9475853, 'lng': -81.0850021}",4.4,406
147,7 Hamlets Brewing Company,7 Hamlets Brewing Company,"{'lat': 43.1002578, 'lng': -75.4016571}",4.9,55
148,7 Hermits Brewing Company,7 Hermits Brewing Company,"{'lat': 39.6413327, 'lng': -106.8308052}",4,79
149,7 Hills Brewing Company,7 Hills Brewing Company,"{'lat': 42.504616, 'lng': -90.663603}",4.5,882
150,7 Locks Brewing,N/A,N/A,N/A,N/A
151,7 Mile Brewery,7 Mile Brewery,"{'lat': 39.020542, 'lng': -74.86977999999999}",4.5,115
152,7 Seas Brewing Co,7 Seas Brewing,"{'lat': 47.3273389, 'lng': -122.5798638}",4.7,229
153,7 Sins Brewery,Sensory Winery - 7 Sins Brewery,"{'lat': 42.2490079, 'lng': -79.74864579999999}",4,38
154,73 & Main Restaurant and Brewery,N/A,N/A,N/A,N/A
155,734 Brewing Company,734 Brewing Company,"{'lat': 42.2461955, 'lng': -83.6108544}",4.5,100
156,78 Catawba Avenue,N/A,N/A,N/A,N/A
157,7th Wave Brewing,7th Wave Brewing,"{'lat': 42.1937179, 'lng': -71.3281631}",4.5,32
158,7venth Sun Brewery,7venth Sun Brewing Company,"{'lat': 28.0162167, 'lng': -82.79006389999999}",4.7,303
159,7venth Sun Tampa,7venth Sun Brewery,"{'lat': 28.0100961, 'lng': -82.4506043}",4.8,806
160,8 Bit Aleworks,8-Bit Aleworks,"{'lat': 33.454468, 'lng': -112.326419}",4.9,266
161,8 Bit Brewing Company,8 bit Brewing Company,"{'lat': 33.5297174, 'lng': -117.1761469}",4.7,555
162,81Bay Brewing Company,81Bay Brewing Company,"{'lat': 27.8955441, 'lng': -82.5201965}",4.5,316
163,841 Brewhouse,841 Brewhouse,"{'lat': 42.8320611, 'lng': -88.7138878}",4.4,620
164,8one8 Brewing LLC,The Tasting Room at 8one8 Brewing (818),"{'lat': 34.2336111, 'lng': -118.5888889}",4.8,135
165,8th Wonder Brewery,8th Wonder Brewery,"{'lat': 29.7490306, 'lng': -95.3558056}",4.6,1058
166,903 Brewers,903 Brewers,"{'lat': 33.6172681, 'lng': -96.60702979999999}",4.6,155
167,927 Beer Company,927 Beer Company,"{'lat': 35.5666838, 'lng': -121.0985598}",4.5,2
168,93 Octane Brewery,93 Octane Brewery,"{'lat': 41.8986994, 'lng': -88.33370099999999}",4.7,15
169,A Few Old Goats Brewing,A Few Old Goats Brewing,"{'lat': 37.270237, 'lng': -79.95564689999999}",4.7,99
170,A Homestead Brew,A Homestead Brew,"{'lat': 43.5170915, 'lng': -96.49404159999999}",4.8,42
171,A Little Madness Brewing Company,A Little Madness Brewing Company,"{'lat': 30.5370879, 'lng': -87.2000013}",4.7,64
172,ALT Brew Greenview Brewing LLC,ALT Brew,"{'lat': 43.1238866, 'lng': -89.3311748}",4.6,81
173,ALULU Brew Pub,Alulu Brewery and Pub,"{'lat': 41.854733, 'lng': -87.663403}",4.5,300
174,Aardwolf Brewing Company,Aardwolf Brewing Company,"{'lat': 30.3107424, 'lng': -81.654491}",4.7,415
175,Abandon Brewing,Abandon Brewing Company,"{'lat': 42.631829, 'lng': -77.10491499999999}",4.7,132
176,Abandoned Building Brewery,N/A,N/A,N/A,N/A
177,Abbey Brewing Co,Abbey Brewing Company,"{'lat': 25.7890432, 'lng': -80.14029190000001}",4.5,230
178,Abbey Brewing Company LLC,Abbey Brewing Company,"{'lat': 36.382223, 'lng': -106.681352}",4.5,4
179,Aberrant Ales,Aberrant Ales,"{'lat': 42.6076332, 'lng': -83.9314247}",4.3,191
180,Abettor Brewing Company,Abettor Brewing Company,"{'lat': 37.99392820000001, 'lng': -84.18395530000001}",4.6,33
181,Abide Brewing Company,Abide Brewing Company,"{'lat': 33.4002189, 'lng': -84.7642766}",4.9,57
182,Abita Brewing Co,N/A,N/A,N/A,N/A
183,Abjuration Brewing,Abjuration Brewing,"{'lat': 40.4720227, 'lng': -80.07242049999999}",4.8,92
184,Able Baker Brewing,Able Baker Brewing,"{'lat': 36.152913, 'lng': -115.1543617}",4.7,187
185,Able Ebenezer Brewing Company,Able Ebenezer Brewing Company,"{'lat': 42.8526444, 'lng': -71.49305280000002}",4.7,164
186,Able Seedhouse and Brewery,N/A,N/A,N/A,N/A
187,Abner's Restaurant Inc Northern Michigan Beer,Abners Restaurant Inc.,"{'lat': 43.6900948, 'lng': -85.8148732}",4.4,133
188,Abnormal Beer Company,N/A,N/A,N/A,N/A
189,Abolitionist Ale Works,Abolitionist Ale Works,"{'lat': 39.2886375, 'lng': -77.8608581}",4.6,165
190,Abridged Beer Company,Abridged Beer Company,"{'lat': 35.931667, 'lng': -84.015609}",4.7,826
191,Absolution Brewing Co,Absolution Brewing Company,"{'lat': 33.843113, 'lng': -118.337857}",4.6,151
192,Acclamation Brewing,N/A,N/A,N/A,N/A
193,Accomplice Beer Company,Accomplice Beer Company,"{'lat': 41.131904, 'lng': -104.814096}",4.1,403
194,Acopon Brewing Co,Acopon Brewing Co.,"{'lat': 30.1925371, 'lng': -98.0891063}",4.8,77
195,Acorn Brewing,Acorn Brewing,"{'lat': 47.2379565, 'lng': -122.2934912}",4.8,89
196,Acrospire Brewing LLC,N/A,N/A,N/A,N/A
197,Adam's Northwest Bistro Twin Rivers Brewing,Adam's Northwest Bistro and Brewery,"{'lat': 47.85599999999999, 'lng': -121.9710001}",4.5,226
198,Adams Street Brewery,Adams Street Brewery,"{'lat': 41.87923199999999, 'lng': -87.6283942}",4.6,46
199,Adelbert's Brewery LLC,Adelbert's Brewery,"{'lat': 30.3823917, 'lng': -97.7199028}",4.6,309
200,Adirondack Pub and Brewery,Adirondack Pub & Brewery,"{'lat': 43.4186039, 'lng': -73.71376219999999}",4.2,600
201,Adirondack Toboggan Company Microbrewery,Adirondack Toboggan Company Microbrewery,"{'lat': 44.33150639999999, 'lng': -75.47622129999999}",1,2
202,Adobe Creek Brewing Company,Adobe Creek Brewing,"{'lat': 38.0733816, 'lng': -122.5358157}",5,17
203,Adroit Theory Brewing Company,Adroit Theory Brewing Company,"{'lat': 39.1439515, 'lng': -77.72047920000001}",4.7,270
204,Adventure Brewing Co,Grand Adventure Brewing Company,"{'lat': 40.06016810000001, 'lng': -106.3930637}",4.1,202
205,Adventure Brewing Co Eagle Village,N/A,N/A,N/A,N/A
206,Adventurous Brewing,N/A,N/A,N/A,N/A
207,Aeronaut Brewing Company,Aeronaut Brewing Company,"{'lat': 42.3819849, 'lng': -71.10624539999999}",4.5,623
208,Aftershock Brewing Company,Aftershock Brewing Co.,"{'lat': 33.4879683, 'lng': -117.1446506}",4.7,104
209,Afterthought Brewing Company,Afterthought Brewing Company,"{'lat': 41.8888322, 'lng': -88.012956}",4.8,9
210,Against the Grain Brewery & Smokehouse,Against the Grain Brewery and Smokehouse,"{'lat': 38.2554896, 'lng': -85.7440216}",4.5,2334
211,Against the Grain Production Facility,N/A,N/A,N/A,N/A
212,Against the Grain Public House,N/A,N/A,N/A,N/A
213,Aiken Brewing Co,Aiken Brewing Company,"{'lat': 33.5602953, 'lng': -81.7226725}",4.2,230
214,Airline Brewing Company,Airline Brewing Company - Ellsworth,"{'lat': 44.5417821, 'lng': -68.4227715}",4.5,376
215,Airways Brewing Co,N/A,N/A,N/A,N/A
216,Aisle 5,Aisle 5,"{'lat': 37.8130137, 'lng': -122.2465839}",4.2,363
217,Aistear Brewing,Aistear Brewing,"{'lat': 41.388459, 'lng': -83.65107259999999}",4.7,48
218,Akademia Brewing Company,Akademia Brewing Company,"{'lat': 33.9420243, 'lng': -83.470473}",4.6,806
219,Akasha Brewing Company,Akasha Brewing Company,"{'lat': 38.2534404, 'lng': -85.7356504}",4.6,132
220,Akronym Brewing LLC,Akronym Brewing,"{'lat': 41.0847106, 'lng': -81.516032}",4.7,195
221,Akwesasne Mohawk Casino Resort Maple Brewing,N/A,N/A,N/A,N/A
222,Alameda Island Brewing Company,N/A,N/A,N/A,N/A
223,Alamo Beer Company,Alamo Beer Company,"{'lat': 29.4300369, 'lng': -98.4770952}",4.4,305
224,Alarmist Brewing,Alarmist Brewing & Taproom,"{'lat': 41.98979689999999, 'lng': -87.7316116}",4.7,164
225,Alaro Craft Brewery,Alaro Craft Brewery,"{'lat': 38.5731152, 'lng': -121.4810826}",4.5,230
226,Alaskan Brewing Co,N/A,N/A,N/A,N/A
227,Albion Malleable Brewing Company,Albion Malleable Brewing Company,"{'lat': 42.2423239, 'lng': -84.7532696}",4.5,649
228,Albright Grove Brewing Company,Albright Grove Brewing Company,"{'lat': 35.9529396, 'lng': -83.96361519999999}",4.9,34
229,Alchemist Cannery,N/A,N/A,N/A,N/A
230,Alchemy Brewing Co,N/A,N/A,N/A,N/A
231,Alcona Brew Haus,Alcona Brew Haus,"{'lat': 44.67568, 'lng': -83.2903912}",4.6,333
232,Aldus Brewing Company,Aldus Brewing Company,"{'lat': 39.7908579, 'lng': -76.9769245}",4.7,107
233,Ale Asylum,N/A,N/A,N/A,N/A
234,Ale Industries,N/A,N/A,N/A,N/A
235,Ale Republic,Ale Republic,"{'lat': 35.1285937, 'lng': -106.3651288}",4.8,191
236,Ale Spike,N/A,N/A,N/A,N/A
237,AleCraft Brewery,AleCraft Brewery,"{'lat': 39.5336639, 'lng': -76.34579699999999}",4.7,122
238,AleSmith Brewing Co,AleSmith Brewing Company,"{'lat': 32.8881972, 'lng': -117.14985}",4.7,709
239,Alebird Taphouse and Brewery,Alebird Taphouse and Brewery,"{'lat': 42.8123817, 'lng': -85.7286432}",4,178
240,Aleman Brewing,N/A,N/A,N/A,N/A
241,Alematic Artisan Ales,Alematic Artisan Ales,"{'lat': 39.84589, 'lng': -84.117218}",4.8,73
242,Alesatian Brewing Co,Alesatian Brewing Company,"{'lat': 39.184626, 'lng': -78.1656841}",4.7,49
243,Aletruism Brewing Oregon Public House,N/A,N/A,N/A,N/A
244,Alewerks Brewing Company,N/A,N/A,N/A,N/A
245,Alewerks L A B Taproom,N/A,N/A,N/A,N/A
246,Alewife Brewing Company,Alewife Brewing Company,"{'lat': 40.746935, 'lng': -73.925239}",5,2
247,Alexandria Brewing Company,Alexandria Brewing Company,"{'lat': 38.9704415, 'lng': -84.39173459999999}",4.8,141
248,Alibi Ale Works,N/A,N/A,N/A,N/A
249,Alibi Ale Works Truckee,Alibi Ale Works - Truckee Public House,"{'lat': 39.329297, 'lng': -120.184268}",4.7,505
250,Alien Brewpub,Alien Brewpub,"{'lat': 35.1041497, 'lng': -106.571126}",4.1,271
251,Align Brewing Co,Align Brewing Co.,"{'lat': 32.8967182, 'lng': -117.1375753}",4.9,21
252,All American Brew Works,All-American Brew Works,"{'lat': 33.8590187, 'lng': -117.80567}",4.8,73
253,All Relation,All Relation Brewing,"{'lat': 29.9412152, 'lng': -90.07786999999999}",4.9,30
254,All Rise Brewing Co,All Rise Brewing Company,"{'lat': 41.886381, 'lng': -87.66678610000001}",4.4,49
255,All Saints Brewing Co,All Saints Brewing Company,"{'lat': 40.31185199999999, 'lng': -79.525986}",4.7,122
256,All Sevens Brewing,All Sevens Brewing,"{'lat': 35.5786716, 'lng': -82.59443069999999}",4.7,7
257,Allagash Brewing Company,N/A,N/A,N/A,N/A
258,Allegheny City Brewing,Allegheny City Brewing,"{'lat': 40.45425609999999, 'lng': -80.0004593}",4.7,165
259,Allegory Brewing,N/A,N/A,N/A,N/A
260,Alliance Brewing Company,N/A,N/A,N/A,N/A
261,Alloy Brewing Company,Alloy Brewing Company,"{'lat': 45.16963699999999, 'lng': -93.336767}",4.6,234
262,Alluvial Brewing Company,Alluvial Brewing Company,"{'lat': 42.0787559, 'lng': -93.668815}",4.8,167
263,Alma Brewing Co,Alma Brewing Co,"{'lat': 43.37884, 'lng': -84.65986199999999}",4.5,196
264,Alma Mader Brewing,Alma Mader Brewing,"{'lat': 39.0796666, 'lng': -94.5989367}",4.9,80
265,Almanac Beer Company,N/A,N/A,N/A,N/A
266,Aloha Beer Co,Aloha Beer Company,"{'lat': 21.300903, 'lng': -157.856803}",4.6,227
267,Alosta Brewing Co,N/A,N/A,N/A,N/A
268,Alpha Acid Brewing Co,Alpha Acid Brewing Company,"{'lat': 37.5211903, 'lng': -122.265883}",4.8,196
269,Alpha Brewing Co,Alpha Brewing Company,"{'lat': 38.5985416, 'lng': -90.2627406}",4.5,196
270,Alpha Michigan Brewing Company,Alpha Michigan Brewing Company,"{'lat': 46.0469692, 'lng': -88.37700199999999}",5,58
