type,location_name,region,latitude,longitude
Brewpub,Animas Brewing Co,CO,37.279965,-107.876846
Brewpub,Anvil Brewing,TX,32.996399,-94.967261
Brewpub,Appalachian Brewing Co Gettysburg Battlefield,PA,39.820211,-77.234294
Brewpub,Appalachian Brewing Co Gettysburg Gateway,PA,39.842605,-77.191933
Brewpub,Appalachian Brewing Co Harrisburg,PA,40.265786,-76.875491
Brewpub,Appalachian Brewing Co Lititz,PA,40.157723,-76.300429
Brewpub,Appalachian Brewing Co Mechanicsburg,PA,40.247416,-77.016948
Brewpub,Appleton Beer Factory,WI,44.261531,-88.414037
Brewpub,Apponaug Brewing,RI,41.726657,-71.469227
Brewpub,Aquabrew,TX,29.881287,-97.940096
Brewpub,Arbor Brewing Company Plymouth Taproom,MI,42.369478,-83.469006
Brewpub,Arcadia Smokehouse,MI,42.733894,-84.520802
Brewpub,Arcadian Moon,MO,38.992703,-93.709498
Brewpub,Arcadian Moon,MO,39.000404,-93.753725
Brewpub,Archaic Craft Brewery At Centro,CA,33.741958,-117.823181
Brewpub,Argilla Brewing Co Pietro's Pizza,DE,39.708324,-75.684372
Brewpub,Arizona Wilderness Brewing,AZ,33.363014,-111.841144
Brewpub,Armored Cow Brewing Co,NC,35.313554,-80.753225
Brewpub,Arrowhead Ales Brewing Company,IL,41.481398,-87.959046
Brewpub,Artisan's Brewery & Italian Grill,NJ,39.977242,-74.18228
Brewpub,Arts District Brewing Company,CA,34.044679,-118.235219
Brewpub,Arundel Cellars & Brewing Co,PA,42.224531,-79.804616
Brewpub,Ascendant Beer Company,OR,45.526202,-122.675225
Brewpub,Ascension Brewing Company,MI,42.47823,-83.460888
Brewpub,Ashby Brewing Company Battle Lake,MN,46.275688,-95.719564
Brewpub,Asheville Brewing Co,NC,35.591732,-82.555327
Brewpub,Asian Brothers Brewing Company,CA,38.495519,-121.449118
Brewpub,Assembly Brewing,OR,45.490888,-122.600398
Brewpub,Astoria Brewing Company,OR,46.190169,-123.831412
